1552 por	1556 SPA	0.3	sentences_1552_autosegmented
¶	¶	1.8	sentences_1552_autosegmented
	Capitulo.	-0.3	sentences_1552_autosegmented
	6. De las circunstancias del pecado.	-0.3	sentences_1552_autosegmented
	Sumario.	-0.3	sentences_1552_autosegmented
	1 Circunstancia que es?	-0.3	sentences_1552_autosegmented
Capitolo VI. Das circunstancias.	nu. I. y que ay siete especies della.	0.29	sentences_1552_autosegmented
	nu. 2. ~~~ Y que se ha de confessar de necessidad, la que muda la especie. ~~~ nu. 3.	-0.3	sentences_1552_autosegmented
	Pero no la de aver pecado en confinança de se confessar.	-0.3	sentences_1552_autosegmented
	n. 4. /Circunstancia de homicidio, y de fornicacion en lugar sagrado se ha de confessar, y la vedada por otra ley diversa &c. nu. 5/ Circunstancia de mentira iocosa, y la que alivia el pecado quando se ha de confessar. ~~~ nu. 6. ~~~ 7. & 8.	-0.3	sentences_1552_autosegmented
	Y quando la del dia de fiesta, de ayuno, o de oracion, o del lugar sagrado. ~~~ nu. 9 & 10.	-0.3	sentences_1552_autosegmented
	Y la de la proprioa persona, y de la religion. ~~~ nu. 11.	-0.3	sentences_1552_autosegmented
	Y ha de pecar contra consciencia.	-0.3	sentences_1552_autosegmented
	nume. ~~~ 12/ [p. 32, corretto 31; 24 pdf] Circunstancia como no es el numero de los pecados nu. 14.	-0.3	sentences_1552_autosegmented
	Pecaodo multipliarse tantas vezes, quantas se itera, como se ha de entender, y si crece el numero de los pecados por se interpolar la voluntad. ~~~ nu. 16.	-0.3	sentences_1552_autosegmented
	Y por mudar el proposito, para no acabar el pecado con otras muchas consideraciones quotidianas. ~~~ num. 17 & 18.	-0.3	sentences_1552_autosegmented
	/Confessar puede el penitente mil pecados en una sola palabra n. 18.	-0.3	sentences_1552_autosegmented
	/Circunstancia del pecado quando se ha de confessar de necessidad.	-0.3	sentences_1552_autosegmented
	num 19. ~~~ Y la oluidada en la confession como se confessara sin tornar a confessar el pecado.	-0.3	sentences_1552_autosegmented
1. [1] Pera fundamento disto diremos : lho primeiro, que a circumstancia do peccado, segundo a mente de S. Tho P & outros, he hum accidente daquilo, que he peccado.	nu 20 ~~~ 2 [1] Para fundamento desto dezimos, quanto a lo primero, que la circunstancia del pecado, segun la mente del derechoa (ca. ~~~ Consideret.	0.051049	sentences_1552_autosegmented
	de poeni. d. 5 l. Aut facta ff. de poen. c. Sicut dignum de homic) y de sus interpretes (b : I. Sec. qo.	-0.3	sentences_1552_autosegmented
	7 & in 4 dist 16 ubi etiam omnes alii & Anton.	-0.3	sentences_1552_autosegmented
	3. part. tit. 17 ca.	-0.3	sentences_1552_autosegmented
	17§ 4 & Gerson.	-0.3	sentences_1552_autosegmented
	2. part. fol 170 quos retulimus in princ. d. c. Consideret & Pau.	-0.3	sentences_1552_autosegmented
	& aliorum in d. c. Sicut & alibi) es un accidente de aquello, che es pecado.	-0.3	sentences_1552_autosegmented
Dissemos (he accidente) porque nenhũa circũstãcia da obra, he a substancia della.	Diximos (accidente) porque ninguna circunstancia de la obra, es la substancia della.	1.22308	sentences_1552_autosegmented
Dissemos (da quilo que he peccado) & nã do peccado : porque muytas vezes a obra em si não he peccado, & pola circũ se faz peccado : & como então ella he aquilo, em que consiste ho peccado, não he tãto accidente do peccado, quanto da quilo que he peccado : segundo que ho declaramos em outra parte (q. in d. c. Consideret n. 3), seguindo a Alex.	Diximos de aquello (que es peccado) y no del peccado, porque muchas vezes la obra en si no es pecado, y se haze tal por la circunstancia, y como entonces ella es lo, en que consiste el peccado, no es tan accidente de pecado, quanto de aquello che es pecado, segun lo declaramos en otra parte (c : In d. c. Consideret.	1.36489	sentences_1552_autosegmented
de Ales (r in. ~~~ 4 pt. q. 77 ar. z. co. la. ~~~ z).	nu. 3), siguiendo a Alexandro Halense (d : In 4 par q. 77 ar. 2 col2).	0.164444	sentences_1552_autosegmented
2. ¶	3 [2] ¶	1.18	sentences_1552_autosegmented
[2] Ho II. Que a circunstancia se parte em sete species, que se conte nem aquelle verso : Quis, quid, ubi, quibus auxiliis, cur, quomodo, quando : Referido por S. Tho. ~~~ s (in d. q. 7. ar 3) .	Lo II † que la circunstancia se parte en siete species, que se contienen en un versillo (e : f. ~~~ Quis, quid, ubi, quibus auxiliis, cur, quomodo, quando), referido por S. Thomas (f : In dict. q. 7. articu. 3).	0.526242	sentences_1552_autosegmented
Quem, Que, Onde, Com que ajudas, Porque, Em que maneira, Quando.	Quien, que, donde, con que, porque, como, y quando.	0.225	sentences_1552_autosegmented
O qual verso temos por melhor, que ho de Paudano (t. in.	Al qual versillo tenemos por mejor que al de Paludano (g : In 4. dist. 16. quaest. 3. articu. I. ), como lo diximos alli (h : f. in princ. dict. capitu. ~~~ Consideret.	0.213712	sentences_1552_autosegmented
4. d. 16. q. 3. art. 1. u), como ho dissemos em outra parte (u in princi. d. e. Consideret n. 4) : porque nelle se acrecenta Quotiens, quantas vezes : que denota ho numero : o qual não he circunstancia, se não multiplicação de peccado, como aly ho dissemos (x. in. d. n. 4).	numero. ~~~ 4). ~~~ Porque enel se añade, quoties, quantas vezes que denota numero, el qual no es circunstanci, sino multiplicacion del pecado, como alli (i : In dict. cap. Consideret.	0.20197	sentences_1552_autosegmented
[p. 33, 41 pdf]	numero quarto) lo diximos.	0.0461538	sentences_1552_autosegmented
3. ¶	4 [3] ¶	1.18	sentences_1552_autosegmented
[3] Ho III que destas circũstancias : todas, & soos aquellas, se hão de confessar de necessidade, que fazen que as obras cujas são, sejão peccados mortae : ou as que sam mortaes de hũa especie, que ho sejão da outra : ou o que he mortal mor hum respeito, ho seja tãben por outro : ora muden as obras de hũa especie em outra, ora não, segundo a comũ opiniam, que copiosamente em outra parte (x. f. in d. Consideret a n. 5) tractamos : & soos e todas aquellas circunstancias são desta qualidade (segũdo S. Tho (y. in d. d. 10 q. 6 ar. z. q. 3)) que alen da malicia da mesma obra, repugnã especialmente aa rezão segundo Scoto : as quaes se defendem por diversos, & especiaes mandamentos.	Lo III. †que destas circunstancias, todas, y solas aquellas se han de confessar de necessidad, que hazen, que las obras cuyas son, sean pecados mortales, o las que son mortales de una especie, lo sean de otra, o lo que es mortal por un respecto, lo sea tambien por otro, hora muden las obras de una especie en outra, hora no, segun la commun opinion, que copiosamente alibik (K : In d. c. Consideret à numero 5) tratamos. ~~~ Y solas, y todas aquellas circunstancias son desta qualidad, segun S. Thomas (l : In dict. dist. 16 quaestione sexta articu. 2. quaestione 3), que allende la [p. 32, 25 pdf] malicia de la misma obra, repugnan especialmente ala razon, y segun Scoto, las que se vedan por diversos, y especiales mandamientos.	0.512767	sentences_1552_autosegmented
Dissemos (especiaes) porque não abasta, que sejã taes : que hũ delle; se incluya no outro : quaes são, a ley que defende todo mal, & a que defende homicidio, como ho provamos en outra parte (z : in d. c. consideret n. 74).	Diximos (especiales) porque no basta, que sean tales, que el uno dellos se incluya enel otro, quales son la ley, que veda todo mal, y la que veda el homicidio, como los provamos alibi (a : in d. princi. nume. ~~~ 74).	0.578548	sentences_1552_autosegmented
O qual todo, polas seguintes illaçones se decrara.	Lo qual todo por los siguientes corolarios se desmenuzara.	0.926667	sentences_1552_autosegmented
	* Antes de los quales avisamos, que despues que esto se imprimio, declaro por herege el concilio Tridentino (b : Sessio quarta sub Iul.	-0.3	sentences_1552_autosegmented
	3. c. 5. & cano 7), al que dixere, que no somos obligados a confessar la circunstancia, que muda la especie de pecado.	-0.3	sentences_1552_autosegmented
	Lo qual se ha de entender, de la circunstancia, que muda la especie de pecado venial en mortal, o la del mortal en otro mortal, y no de la que muda en otro venial, que no es necessario (c : glo. c. c omnis de poeni. & re. ~~~ recepta ibi, & in 4 dist. 17) confessarlo.	-0.3	sentences_1552_autosegmented
	Y aunque el concilio no expressa, sino de la que muda la especie del pecado, per tambien (y por mas fuerte razon) se ha de entender de la que haze a la obre, que de suyo es buena, o no mala, mortal.	-0.3	sentences_1552_autosegmented
	Y aun, de la que haze que una obra, quae por un respecto es mortal, lo sea tambien por otro tal, aunque la especie della (quanto a su ser) no se mudasse, como se ha dicho en esta quarta ilacion.	-0.3	sentences_1552_autosegmented
	Ca la razon que a ello movio al convilio, es que el confessor es juez y no podria bien sencenciar el caso del penitente, sin se le manifestar la circunstancia, que muda la especie del pecado, la qual razon milita en las tres dichas circunstancias (d : Quare idem iuris debet esse de omnibus. ~~~ l. illud. ~~~ ff. ad leg Aquil. ~~~ ). ~~~ *	-0.3	sentences_1552_autosegmented
¶	5 ¶	1.7	sentences_1552_autosegmented
A primeyra he, que não se hão de confessar as circunstancias, de quãdo ho peccado se fex .	El primero de los quales sea, que no se han de confessar las circunstancias, de aver se cometido el pecado lunes, o martes, enel prado, o en la viña, con la mano derecha, o con la yzquierda.	1.25537	sentences_1552_autosegmented
f. se aa segunda feira, se aa terça : se no campo, se na vinha, se co a mão direyta, se co a esquerda : porque per estas não se faz algũa das tres cousas acima ditas : Pois não se faz mortal, o que sem elas ho não fora, nem de outra especie mortal, nem por outro respeito.	Porque po restas, no se haze alguna de las tres cosas suso dichas, pues no se haze mortal, lo que sin ellas no fuera tal, ni de otra especie mortal, ni por otro respecto mortal.	1.47292	sentences_1552_autosegmented
4. ¶	¶	1.6	sentences_1552_autosegmented
	6 [4] El segundo † que pecar con confiança, de que despues se confessara, y alcançara pardon perdon, no se ha de confessar necessariamente, perque no es circunstancia, que tanto agrava, antes aliuvia, como lo apunto un Cardenal (e : Caietan.	-0.3	sentences_1552_autosegmented
	2. Sec. q. 21. ar. 2 quicquid dicat Bonaventura in apologia)	-0.3	sentences_1552_autosegmented
[4] A II que o que furtou algũa cousa sagrada, ou de lugar sagrado : não cumpre dizendo, que furtou : Porque ha de confessar, que furtou em lugar sagrado, ou cousa sagrada de lugar não sagrado : porque esta circunstancia faz, que o que era peccado mortal de hũa especie, ou por hũ respeyto, ho sela dovira, ou por outro : por ser especialmente defendido por outra ley diversa, da que defende ho furto .	7 ¶ ~~~ El tercero, que al que hurto alguna cosa sagrada, o de lugar sagrado, no basta dezir que la hurto, porque le es necessario confessar, que la hurto de lugar sagrado, o era cosa sagrada. ~~~ Ca esta circunstancia haze, que lo que era pecado mortal de una especie, o por nu respecto, lo sea de otra, o por otro respecto, por ser especialmente vedada por otra ley diversa, de la que veda el hurto conviene saber, que ninguna cosa sagrada, ni de lugar sagrado se hurte (f : c. Quisquis n. 7 quaest 4).	0.333467	sentences_1552_autosegmented
f. que nenhũa cousa sagrada, nem de lugar [p. 34, 42 pdf] sagrado se furte.	8[5] Lo mesmo † es del homicidio, y de la fornication hecha en lugar sagrado [p. 33, 25 pdf].	0.978571	sentences_1552_autosegmented
5. Do mesmo he do homicidio, & fornicaçao cometida em lugar sagrado : porque po resta circũstãcia se fazen mortaes outra specie : ou por outro respeito, por serem specialmente defendidos por ley humana (a : e proposuisti d. confe. cecie c. Eccesiis de consecr. d. 1)	Porque po resta circunstancia se hazen de otra especie, o por otro respecto mortales, por ser vedados por ley, especial humana (a : Cap. ~~~ Proposuisti, de consec. eccl. cap. Ecclesiis de consec. distin. ~~~ I).	0.283509	sentences_1552_autosegmented
. ¶	9 ¶	1.3	sentences_1552_autosegmented
[5] A III que quem conhece carnalmente molher casada, ou parenta, ou religiosa : não satisfaz confessando somente, que tuve parte con molher : porque ha de decrarar, que era con casada, religiosa, ou parenta : porque non primeiro caso, he adulterio corporal, no ii sacrilegio, ou adulterio spiritual, no iii incesto : & por conseguinte ao mortal de hũa specie ou por hũ respecto, ho faz mortal de outra specie, ou por outro respecto.	El IIII que quien se echo con muger casada, religiosa, o parienta, no satisfaze confessando, que uvo parte con muger, porque ha de declarar, que la ovo con casada, religiosa, o parienta. ~~~ Ca enel primero caso es adulterio corporal, enel segundo, sacrilegio, o adulterio espiritual, enel tercero, incesto, y por conseguiente lo mortal de una especie, lo haze de otra.	0.528234	sentences_1552_autosegmented
E se propos de furtar, para ter parte com hũa que he religiosa, & con outra que he casada : ha de confessar furto & adulterio, & sacrilegio : porque ainda que estas tres cousas sejão hũ auto soo interior da vontade : san poren peccado mortal, por tres respectos diversos : pois por tres repugna aa rezão, & por tres leys diversas speciaes estaa veadado.	U si uno propuso de hurtar para tener parte con una, que es religiosa, y con otra casada, ha de confessar, hurto, sacrilegio, y adulterio : Porque puesto que estas tres cosas sean un acto interior de la voluntad, empero por tres respectos diversos es pecado mortal, pues por tres repugna a la razon, y por tres leyes diversas especiales esta vedado.	1.48632	sentences_1552_autosegmented
¶	10 ¶	1.6	sentences_1552_autosegmented
A IIII que toda circunstancia de fim defendido por outra ley special diversa, da que veda o auto principal, se deve confessar contro a circunstancia do que furta para fornicar, matar, ou ferir a outro.	El. ~~~ V. que toda circunstancia de fin vedada por otra ley especial diversa dela que veda el acto principal, se deve confessar, como la circunstancia del que hurta para fornicar, matar, o herir a otro	0.851587	sentences_1552_autosegmented
¶	11 ¶	1.6	sentences_1552_autosegmented
[6 ] A V. que mente pera dar prazer, sem dãno doutro : que he mintira jocosa, & peccado venial : com tal tençao, que nao a deixaria de dizer, posto que soubesse que era mortal, he obrigado a confessar aquella circunstancia : porque con ella he mortal & sem ella não.	El. ~~~ VI † que quien miente para dar plazer, sin daño de nadie (que es mentira iocosa, y pecado venial) con tal intencion, que no la dexaria de dezir puesto que supiera, que era mortal, es obligado a confessar a quella circunstancia, porque con ella es mortal, y sin ella no.	0.467164	sentences_1552_autosegmented
6. A VI. que nenhũ he obrigado a confessar as circunstancias, que alivião o peccado : & assi o que peccou com hũa molher, porque ella ho provocou : nam he obrigado a confessar, que ella ho provocou, pois diminue ho peccado (b : c. significavit de penit & re quo in hoc dixit sing.	12 ¶ ~~~ El VII [6] que nadie es obligado a confessar las circunstancias que alivian el pecado, y assi el que peco con una muger, porque ella lo provoco, no es obligado a confessar, que lo provoco, pues diminuye el pecado (b : Pet. ~~~ c. Significavit-de poe. & remis. ~~~ quod i hoc dixit fing.	0.0878181	sentences_1552_autosegmented
Felinus in ea.	Feli in c. Dilecti.	0.957692	sentences_1552_autosegmented
Dilecti de except. col. ante penui.	de except. col. antepe.	1.95714	sentences_1552_autosegmented
& l. si adulterium.	& per .	0.5	sentences_1552_autosegmented
c3. incestu § imperatores ff. ad Il iul. de adult. quam in hoc aiebat ing.	l. Si adulterium cum incestu § imperatores . ~~~ ff. ad. ~~~ l. Iuliam de adulte.	0.201418	sentences_1552_autosegmented
	quem in hoc aiebat.	-0.3	sentences_1552_autosegmented
	fin.	-0.3	sentences_1552_autosegmented
Ia fon. in l. vt vim.	Iason. ~~~ i. l. Ut vim.	0.518182	sentences_1552_autosegmented
	ff. de iusti & iur. co.	-0.3	sentences_1552_autosegmented
ff. de iust & iur col. z. aptissimus tamen ad perpesitum tex in d. c. Consideret verb. tentatione) : antes a deve calar (segundo a Comũ, que nos em outra parte seguimos : ) c?	2 aptissimus tum ad propositum tex. ~~~ in. d. c. Consideret, verb. tentatione). ~~~ Antes (segun la Commun, que nos seguimos alibi (c : f. in princ. d. c. Consideret. ~~~ numero.	0.131681	sentences_1552_autosegmented
	5. ) la deve callar, por no se dever escusar el penitente enla confession.	-0.3	sentences_1552_autosegmented
	Agora empero mejor nos parece lo contrario, porque no ay ley ni razon, que efficazemente prueve aquello (d : Ergo nec asserendum. ~~~ c. 2. de trans.	-0.3	sentences_1552_autosegmented
(c. .	praela .	1.12	sentences_1552_autosegmented
	.c.	-0.3	sentences_1552_autosegmented
f. in princ. d. c. Consideret n. 5) [p. 35, 43 pdf] porque não deve ho peccador escusas na confissam mas accusarse Posto que agora, milhor nos parece ho contrario : porque dado caso, que a não case, sufficientemente se accusa lançando a si mesmo a culpa que ten, sem tirar nem poer mais.	Legat. ~~~ 24. q. 2), y porque, aunque no la calle, bastantemente se acusa, echando se la culpa que tiene, fin quitar, ni poner mas. ~~~ Y aun es obligado a confessar las, según. ~~~ S. Bona. ~~~ (e: in.	-0.1128	sentences_1552_autosegmented
Deve porem confessalas, segundo S. Bonaventura (d. in 4. d. 16. c), & a Comũ, que ally seguimos, quando tanto aliutão, que de mortal, ho faz que não seja peccado, ou soomente venial como a circunstancia da grave e fermida de aliuia o comer carne na coresma & quando ho confessor lho pregunta : & quando temesse, que polas callar, tomaria ho confessor occasion de algũ mal (e : Arg. c. Nialn de praescriptio).	4. d. 16. ) ~~~ y la Comun, que ali (f: in d. princ. ) seguimos, quando tanto alivia, que de mortal lo haze que no sea pecado, o no mas de venial, como la circunstancia de la grave enfermedad alivia al comer de la carne en quaresma. ~~~ Y quando se las pregunta el confessor, o temiesse, que por se las callar tomaría occasion de algún mal (g: Arc. ~~~ c. Nihil de praescript. ~~~ ).	0.042457	sentences_1552_autosegmented
7. ¶	13 ¶	1.3	sentences_1552_autosegmented
[7] A VII que posto que cousa de louuar, confessar as circumstancia , que agravão ho peccado, fazendoo de pequeno grande ou de grande mayor, poren a openião mais commũa, & provavel he, que não he necessario, quando aquelle acreentamento não he causa, que ho venial se faça mortal, ou de outra specie, ou por outro respecto : como copiosamente allegamos, & provamos em outra parte (f : in d. c. Consideret), apartandonos de todo em todo do parecer de Marsilio (g. in lib.	El VIII † [7] que aun que es loable cosa confessar las circunstancias, que agravan el pecado, haziendolo de pequeño grande, o de grande mayor, pero la opinion mas commun, y provable es, que no es necessario, quando aquel argumento no es cause, que lo venial se haga mortal, o de otra especie, o por otro respecto, como copiosamente provamos alibi (h : f. in. d. prin. nu. 12. part. ~~~ 4 pag. ~~~ 36 * & satis declaratur ex nunc pro conci. ~~~ Trident. ~~~ sess. 4 sub Iuli. ~~~ 3. cap. 5 & can. 7 à contrario sensu), apartandonos de Marsilio (i : in. li.	-0.00107417	sentences_1552_autosegmented
4. q. 12. ar.	4. q. 12. art. I. corol.	1.85455	sentences_1552_autosegmented
1 col4) que limitava, que esta Commũ não ovvesse lugar quando a circunstancia muy crara, & notavelmente acrecenta ho peccado, polas muytas & efficaces consideraçones, que alli (f : in d. prin. pag 36 naz. )	4) (en quanto limitava esta commun, que no oviesse lugar en la circunstancia, que muy clara [p. 34, 26 pdf] y norablemente augmenta el pecado) por las muchas, y solidas consideraciones, que alli escrivimos.	1.15542	sentences_1552_autosegmented
escrevemos. ~~~ 8. † [8] Parece nos poren, que a Comũ nã ha lugar, quãdo ao menos por constituçones synodaes, aquelle argumento do peccado ha causa, que seja reservado : ou que a restituoção se faça doutra maneira : ou que tenha annexa excomunhão : ou que a excomunhã ãnexa seja Papal : como a excomunhão da ferida pequena do clerico he do bispo (g : c. Pervenit defent.	Parecenos empero, que se davan limitar enla que augmenta el pecado, y haze que por ello sea reservado almenos por constitucion synodal, que a las vezes reserva algunos hurtos, o daños de ciertta quantidad para cima, o añade, que la absolucion, o restitucion se haga en cierta manera. ~~~ 14 Y † enla que [8] haze, que tenga annexa descomunion, o que la descomunion annexa sea papal, como la descomunion dela herida ligera del clerigo, es obispal (a : ca.	0.179102	sentences_1552_autosegmented
exco.	Pervenit de setentia exco.	0.9	sentences_1552_autosegmented
ubi rex tus singularis) : & se he grãde, he do Papa (h : c. Si qs suas dente 17 q. 4)	ubi text. singu. ), y de la grande, papal (b : c. Si quis suadente. ~~~ 17 q. 4).	3.4125	sentences_1552_autosegmented
ou quando preguntado polo confessor se cala sen outra algũa causa, ponendose (ao menos) en perigo dalgũ inconveniente [p. 36, 44 pdf] como ho disse bem Sylvestre (i : verb.	15 Y en la que pregunta el confessor, y no se puede callar, sin peligro de algun inconveniente espiritual, como lo dixo bien Silves (c : f. verb. Contessio.	1.16047	sentences_1552_autosegmented
Confessio i. q. 9 k) : ainda que Joam de Friburgo, autor da Summa confessorum, não ho diz onde elle ho allega (k f. lib.	I. § 9) aunque Ioan de Friburgo (el autor dela Summa confessorum) no lo dize donde el lo allegad (f. li.	0.939958	sentences_1552_autosegmented
3. t. 33. q. 11) : nem ainda onde disto tracta (l : f. lib.		-0.3	sentences_1552_autosegmented
3. tit.	3. ti.	1.25	sentences_1552_autosegmented
34. q. 81).	33 q. 11), niaun donde desto tracta (e : f. lib. 3 ti 34 quaest 81).	0.48	sentences_1552_autosegmented
9. ¶	16 ¶	1.3	sentences_1552_autosegmented
A VIII que a circunstancia do dia [9] da festa não se ha de confessar necessariamente, porque não faz mortal, o que sem ella não fora tal ne de outra specie, ne por outro respeyto : se não for obra servil defendida em festas : o qual não he ho peccado, segundo S. Tho.	El IX † que la circunstancia del dia dela fiesta, no se ha de confessar [9] necessariamente : Porque no haze mal, lo que sin ella no lo fuera tal ni de otra especie, ni por otro respecto, sino fuere obra servil, vedada en fiestas, qual no es pecado, Segun S. Tho.	1.70672	sentences_1552_autosegmented
(m : in 3. d. 37 ar 5 q. z).	(f : in-3 sent. d. 37 art. 5. q. 2).	1.27091	sentences_1552_autosegmented
	Esta ilagion alibi (g : f. in. d. c. Consideret.	-0.3	sentences_1552_autosegmented
Esta illaçã por muytos fundamentos confirmamos em outra parten (f. in d. c. consideret a.	a. n. 17 usque ad 40) por otros fundamentos confirmamos, respondiendo a otros tantos contrarios, seguiendo en ello al cardenal Caieta (h : 2. ~~~ Sec. q. 7. & .	0.296154	sentences_1552_autosegmented
	2. Sec. q. 122 art. 4. i. Quodl 10 & in summa verb dies festos) en muchas partes, y al resoluto Sylvestro en otras (i : f. verb. Cincunstantia. ~~~ q. 3. & ver. ~~~ Dies dominica. ~~~ q. si. ~~~ & . ~~~ in aurea rosa.	-0.3	sentences_1552_autosegmented
17 usque ad 40) respondendo aos contraytos, seguindo nisso ao Cardenal Caietano (o : i. sede q. 7 z Se q iz art. 4 & in quod ii 10 & in suma verb dies festos) em muytas partes, & ao resoluto Sylvestre em outras (p : f. verb circunstantia & verb Dies dnica q. 6 & in Rosa aurea cas 63 ubi testat doctissimos quos que ordinis dominicani convenisse & haec opinione suscepisse) & a Jacopo Almayno (q : in 4 d 17 col z4) : posto que a openião commũ em dous casos se pode guardar, como ally dissemos (r : ubi supra a.	casu. ~~~ 63 ubi testatur doctissimos quosque ordinis dominicani convenisse & hanc opinione suscepisse), y a Iacobo Almayno (k : in 4 dist 17 col. 24).	0.413193	sentences_1552_autosegmented
40) f. quando ho peccado se faz a fim, de fazer obra manual vedada naquelle dia, ou com tençao de quebrãtar a festa.	Aunque la Comun opinion en dos casos se puede guardar como alli lo diximos (l: ubi supra n. 40), conviene a saber quando el pecado se haze a fin de hazer obras manual verdada en aquel dia, o quando se peca mortalmente, con intencion, y proposito de quebrantar la fiesta.	1.1634	sentences_1552_autosegmented
¶	17 ¶	1.6	sentences_1552_autosegmented
A IX que a circunstancia do dia de jejuũ, ou de oração, não se ha de confessar necessariamente, se não quando se pecca com proposito de ho quebrãtar : porque nã faz algũa das ditas tres cousas, segũdo em outra parte ho provamos (s : f. in d. c. Consideret n. 32 vers. sic.	El X que la circunstancia del dia de ayuno, o de oracion, no se ha de confessar necessariamente, fino quando se peca con proposito delo quebrantar, por ello por que no haze alguna delas dichas tres cosas, segun lo provamos alibi (m : in d. c. Consideret nu. 32 ver.	2.16576	sentences_1552_autosegmented
Ad primum)	Ad primum)	2.3	sentences_1552_autosegmented
10. ¶	18 ¶	1.24	sentences_1552_autosegmented
