1552 por	1556 SPA	0.3	sentences_1552
<p>	<p>		sentences_1552
¶	¶	1.8	sentences_1552
Capitolo VI. Das circunstancias.	Capitulo. 6. De las circunstancias del pecado.	-0.3	sentences_1552
		0.28	sentences_1552
<p>	<p>		sentences_1552
	Sumario.	-0.3	sentences_1552
<p>	<p>		sentences_1552
	1 Circunstancia que es? nu. I.	-0.3	sentences_1552
	y que ay siete especies della. nu. 2.		sentences_1552
	Y que se ha de confessar de necessidad, la que muda la especie. nu. 3.	0.280645	sentences_1552
	~~~ Pero no la de aver pecado en confinança de se confessar. n. 4.	0.205632	sentences_1552
	/Circunstancia de homicidio, y de fornicacion en lugar sagrado se ha de confessar, y la vedada por otra ley diversa &c. nu. 5/ Circunstancia de mentira iocosa, y la que alivia el pecado quando se ha de confessar. nu. 6. 7. & 8.	0.405094	sentences_1552
	Y quando la del dia de fiesta, de ayuno, o de oracion, o del lugar sagrado. nu. 9 & 10.	0.586364	sentences_1552
	Y la de la proprioa persona, y de la religion. nu. 11.	-0.3	sentences_1552
	Y ha de pecar contra consciencia. nume. 12/	-0.3	sentences_1552
	Circunstancia como no es el numero de los pecados nu. 14.	-0.3	sentences_1552
	Pecaodo multipliarse tantas vezes, quantas se itera, como se ha de entender, y si crece el numero de los pecados por se interpolar la voluntad. nu. 16.	-0.3	sentences_1552
	Y por mudar el proposito, para no acabar el pecado con otras muchas consideraciones quotidianas. num. 17 & 18.	-0.3	sentences_1552
	/Confessar puede el penitente mil pecados en una sola palabra n. 18.	-0.3	sentences_1552
	/Circunstancia del pecado quando se ha de confessar de necessidad. num 19.	-0.3	sentences_1552
	Y la oluidada en la confession como se confessara sin tornar a confessar el pecado. nu 20	0.526082	sentences_1552
<p>	<p>	0.511712	sentences_1552
1. [1] Pera fundamento disto diremos: lho primeiro, que a circumstancia do peccado, segundo a mente de S. Tho P & outros, he hum accidente daquilo, que he peccado. Dissemos (he accidente) porque nenhũa circũstãcia da obra, he a substancia della. Dissemos (da quilo que he peccado) & nã do peccado:	2 [1] Para fundamento desto dezimos, quanto a lo primero, que la circunstancia del pecado, segun la mente del derechoa (ca. Consideret. de poeni. d. 5 l. Aut facta ff. de poen. c. Sicut dignum de homic) y de sus interpretes (b : I. Sec. qo. 7 & in 4 dist 16 ubi etiam omnes alii & Anton. 3. part. tit. 17 ca. 17§ 4 & Gerson. 2. part. fol 170 quos retulimus in princ. d. c. Consideret & Pau. & aliorum in d. c. Sicut & alibi) es un accidente de aquello, che es pecado. Diximos (accidente) porque ninguna circunstancia de la obra, es la substancia della.		sentences_1552
porque muytas vezes a obra em si não he peccado, & pola circũ se faz peccado: & como então ella he aquilo, em que consiste ho peccado, não he tãto accidente do peccado, quanto da quilo que he peccado: segundo que ho declaramos em outra parte (q. in d. c. Consideret n. 3), seguindo a Alex. de Ales (r in. 4 pt. q. 77 ar. z. co. la. z).	Diximos de aquello (que es peccado) y no del peccado, porque muchas vezes la obra en si no es pecado, y se haze tal por la circunstancia, y como entonces ella es lo, en que consiste el peccado, no es tan accidente de pecado, quanto de aquello che es pecado, segun lo declaramos en otra parte (c : In d. c. Consideret. nu. 3), siguiendo a Alexandro Halense (d : In 4 par q. 77 ar. 2 col2).	-0.3	sentences_1552
<p>	<p>	0.975046	sentences_1552
2. ¶ [2] Ho II. Que a circunstancia se parte em sete species, que se conte nem aquelle verso: Quis, quid, ubi, quibus auxiliis, cur, quomodo, quando: Referido por S. Tho. s (in d. q. 7. ar 3).	3 [2] ¶ Lo II † que la circunstancia se parte en siete species, que se contienen en un versillo (e : f. Quis, quid, ubi, quibus auxiliis, cur, quomodo, quando), referido por S. Thomas (f : In dict. q. 7. articu. 3).		sentences_1552
Quem, Que, Onde, Com que ajudas, Porque, Em que maneira, Quando.	Quien, que, donde, con que, porque, como, y quando.	1.18	sentences_1552
O qual verso temos por melhor, que ho de Paudano (t. in. 4. d. 16. q. 3. art. 1. u), como ho dissemos em outra parte (u in princi. d. e. Consideret n. 4):	Al qual versillo tenemos por mejor que al de Paludano (g : In 4. dist. 16. quaest. 3. articu. I. ), como lo diximos alli (h : f. in princ. dict. capitu. Consideret. numero. 4).	0.544325	sentences_1552
porque nelle se acrecenta Quotiens, quantas vezes: que denota ho numero: o qual não he circunstancia, se não multiplicação de peccado, como aly ho dissemos (x. in. d. n. 4).	Porque enel se añade, quoties, quantas vezes que denota numero, el qual no es circunstanci, sino multiplicacion del pecado, como alli (i : In dict. cap. Consideret. numero quarto) lo diximos.	0.225	sentences_1552
<p>	<p>	1.01979	sentences_1552
3. ¶	4 [3] ¶	0.363079	sentences_1552
[3] Ho III que destas circũstancias: todas, & soos aquellas, se hão de confessar de necessidade, que fazen que as obras cujas são, sejão peccados mortae: ou as que sam mortaes de hũa especie, que ho sejão da outra: ou o que he mortal mor hum respeito, ho seja tãben por outro: ora muden as obras de hũa especie em outra, ora não, segundo a comũ opiniam, que copiosamente em outra parte (x. f. in d. Consideret a n. 5) tractamos:	Lo III. †que destas circunstancias, todas, y solas aquellas se han de confessar de necessidad, que hazen, que las obras cuyas son, sean pecados mortales, o las que son mortales de una especie, lo sean de otra, o lo que es mortal por un respecto, lo sea tambien por otro, hora muden las obras de una especie en outra, hora no, segun la commun opinion, que copiosamente alibi (K : In d. c. Consideret à numero 5) tratamos.		sentences_1552
