azp1556_ch17_0,"<root><div type=""chapter""><p>"
azp1556_ch17_1,"¶ Capitulo. 17. Del septimo mādamiento mandamiento, No hurtaras. SVMARIO. Furto que cosa, y se parte en mental, y real. numero. 1. Y quando notable. numero. 3. Mandamiento de no hurtar, quantas cosas veda a vna con la vo luntad dellas. numero. 2. Y como escusa la poquedad, la surrepcion, la ignorācia ignorancia, y la du da. numero. 4. Y el fin vtil al alma, o hazienda del Se ñor. numero. 5."
azp1556_ch17_2,"PAra rayzes delas preguntas deste manda miento dezimos lo primero, † que ay hur to mental, y hurto real. El mental es vo luntad de hurtar. Y el hurto real, es con tratacion, o tratamiento enga ñoso de co sa agena contra la voluntad de su due ño, para ganar la propriedad, o la possession, o el vso della a l. 1. ff. de furt. §. 1. Instit. de o bligat. qu æ ex delicto nascun tur.. Diximos (contractacion) porque sin ella, no ay hurto b In. d. l. 1. real, aun que si mental. Diximos (de cosa agena) porque el tractamiento dela suya (en quanto es, o con razon se cree suya) no es hurto c l. Inter om̃es omnes §. Recte. ff. de fur.. A ñadimos (contra la vo luntad de su due ño) porque el que con su consentimiento se ha ze, no es hurto d In. d. §. Re cte.. Diximos (enga ñoso) porque si se haze para bur lar, o despertar, no lo es e Maior. in. 4. dist. 15. q. 24. col. 1.. Dixose (para ganar la propriedad, o possession. &amp;c.) porque basta querer ganar algo desto, para que sea hurto, segun todos."
azp1556_ch17_3,"¶ Lo segundo, † que por este mandamiento (como alibi dixi mos f s. in additio. repet. c. Qñ Quando de consecrat. d. 1. n. 231. ) no solamente se veda lo que secretamente se toma al pro ximo contra su voluntad (que propriamente se llama hurto.) Pero aun todo lo al que mal se toma, y mal se tiene, y todo el da ño, que mal se le da: y por cōsiguiente consiguiente lo que se toma, o tiene por fuer ça, por leyes injustas, o otra qualquier vsurpacion ilicita, de co sas agenas g cap. P œnale 14. q. 5.. Y aun toda voluntad deliberada de tomar, tener, da ñar, y vsurpar ilicitamente contra la voluntad de su due ño. Porque (como arriba a In. c. 11. n. 8., y alibi diximos b In. dict. addi ctio. n. 233. ) los pecados dela volun tad, boca, y obra, son de vna misma casta, aunque los de la sola voluntad, no obligan a restitucion, como los de la obra, y boca."
azp1556_ch17_4,"¶ Lo tercero, † que la poquedad dela cosa que se toma, y la subre pcion, o indeliberaciō indeliberacion escusa de mortal en esta, y en toda otra ma nera, segun que arriba c In. c. 11. n. 4. lo diximos. Y ansi quien hurta vna man çana (aun con animo de hurtar) no peca mas de venialmente, si no tuuo intencion de hurtar cosa notable, si pudiera, ni de hazerle da ño notable con el hurto della, otramente si, segun S. Thomas d Vbi supra. ar ticu. 6. Anto. 2. part. ti. 1. c. 15. §. 1. &amp; Syl. ĩ in Ro sa aurea casu. 18.. Porque en esto, no solamente se tiene respecto a lo que se toma: mas a la intencion, y voluntad del que toma, segun S. Hierony. e In. ca. fi. 14. q. 4. alomenos quāto quanto al fuero de la cōsciencia consciencia, como lo diximos alibi f In repe. d. c. fina.."
azp1556_ch17_5,"*Notable cosa se dize, lo que de suyo es tal, aunq̃ aunque por respecto del aquiẽ aquien se toma, no sea tal. Qual es la summa de dos, o tres ducados, que se toman al Emperador o Rey, que por quasi nada la reputa. Es tambien notable lo que por respecto de la persona aquien se to ma, es tal. Qual es vn real respecto de vn pobre: y aun si del hurto de vna cosa muy peque ña se sigue gran da ño. Qual es el hurto de vna lezna o aguja que se haze al official, que no puede obrar sin ella, y no puede auer otra dōde donde esta: como lo dize Soto g lib. 4. q. 7. ar. 2. de iust. &amp; iur.. Aunque esto postrero no nos parece hurto mortal, puesto q̃ que sea obra mor tal por el da ño notable, que da: porque tal hurtador no se con denaria enel doblo, o quatro tanto del da ño, sino de la lezna o aguja: y lo mesmo dezimos del, que hurta vna cosilla, aquien sa be, que por ello tomara notable pena. Ca el hurto no es notable, pero la obra de enojarlo ansi, es notablemente mala, y ansi enten demos a Syluestro h In Rosa au rea casu. 38.. Vea se para toda esta addicion lo que aba xo se dira i infra. ca. 27. nume. 9."
azp1556_ch17_6,"*. Escusa empero (aun de venial) la ygnorancia pro bable de que la cosa era agena: y tambien la gran necessidad suya, a juyzio de buen varon k c. Si quis ꝓ pter propter necessita tem. de fur. vbi Panor. &amp; alij.: y tambiẽ tambien el creer con causa proba ble, que el se ñor de la cosa lo auria por bien l l. inter oẽs omnes. §. Recte. ff. đ de furt.."
azp1556_ch17_7,"† Mas no, si du dasse, o sin tal causa lo creyesse m d. §. Recte., aunque verdaderamente el se ñor lo tuuiesse por bueno, porque haze contra lo que duda, y deuria creer que es mortal, por lo que alibi diximos n In. c. Si quis aũt autem de p œ. d. 7.: Aunque en este caso, no seria obligado a restituyr o d. §. Recte.. &amp; Sylue. verbo. furtũ furtum. §. 7.. Ni lo escusaria la vi sta del Se ñor, sin contradicion, si lo dexasse de hazer, por te mor, o verguen ça p P Syl. vbi su pra &amp; ꝑ per regulā regulam Adria. in. 4. de resti. q. 2. col. 4. versic. Ex quibꝰ quibus quā quam sentit etiā etiam Caie. in fin. art. fin. q. 62.. Y al reues no pecaria, y seria obligado a re stituyr q Arg. c. Peccat ũ Peccatum de regu. iur. lib. 6., si creyesse, que el Se ñor era contento, y tenia causa sufficiente para lo creer, y despues de tomado, supo lo contra rio. Escusa tambien la condicion justificatiua: como si tuuo vo luntad de tomar, si Dios no lo ouiera vedado a Arg. c. Si ꝓ te propte. de rescr. li. 6. l. C ædere diẽ diem. ff. de verb. sign. Caiet. verb. co gitatio.."
azp1556_ch17_8,"Y † tābien tambien el pro prosito de tornar lo que toma al proprio se ñor, que por via de de recho, no lo puede auer, alomenos sin escandalo b Arg. glo. sin. c. Ius gentiũ gentium. 1. d. &amp; dicti sing. Inno. in. c. Olĩ Olim. 1. de rest. spo.: como se com prasse al ladron, o robador muy barato lo que lleua hurtado, o ro bado, para lo boluer a su due ño: Y tambien el fin de quitar los in strumentos de pecar a su due ño, como si ocultamente hurtasse las posturas, y affeytes a la muger, que con ellas peca, y prouoca a los otros a lo mismo, o el cuchillo al furioso, porque con el no mate, o el dinero, o los naypes al tahur, porque no juegue: y cōuierte conuierte estas cosas en prouecho de la hazienda de aquellos, aquien hurto, con tanto, que no se siga por ello gran escandalo, segun S. Antonino c In. 2. part. ti. 1. cap. 14. §. 2., porque ninguna cōtractacion contractacion o toma destas es fraudulosa, que se requiere para ser hurto d Per supra di cta in. 2. Pr ęsup posi. nume. 2.."
azp1556_ch17_9,"¶ Que cosa es restitucion. SVMARIO. Restitucion que cosa, con su diffinicion declarada, y que es auto de justicia commutatiua. numero. 6. y es deuida la de lo ageno, aun que la compre con buena fe, pero no, si con mala. numero. 7. Y que, si lo vendio ya con ella, o la boluio al vendedor sin ella. numero. 8. y que, se comio, o vso de lo hurtado. numero. 9. Restituyr se deue la mesma cosa agena. numero. 10. Restituye, a quien se perdona o remite. numero. 11."
azp1556_ch17_10,"LO quarto, que para dezir juntamente quien peca cō tra contra este mandamiento con obligacion de restituyr, y quien sin ella, cumple tratar de la restitucion antes de las preguntas: y primeramente, que cosa es: y ha blando mas clara, breue y profundamente que los otros dezimos, que restitucion, como en esta materia se toma, es obra de la justicia comutatiua, con que se buelue lo suyo a su due ño, o se paga, o contenta el acreedor de vida, salud, espiritual, o cor poral, de honrra, fama, o haziẽda hazienda. Diximos (obra de la justicia) por que las de gracia y cortesia, con que bueluen, y dan muchas cosas vnos a otros sin obligacion de justicia, por amor, charidad, miseri cordia, o agradescimiento, hospedando, combidando, haziendo presentes, y mercedes, o seruicios gratuitos, no son restituciones. Diximos (comutatiua) porque como dize S. Thom. a 2. Sec. q. 61. arti. 1. &amp;. q. 62. art. 1. recebido, re quiere ygualdad, entre lo que se restituye de vna parte, y lo que se deue dela otro, y porque no es obra dela justicia distributiua, que reparte lo comun entre los particulares."
